country,security_name,event_type,ticker_event,ticker_mapping,status,score,query_used,candidate_name,exchange,reason,ticker,price_fetch_status,rows,price_fetch_reason,diagnosis
USA,MACY'S,deletion,M,M,existing_repo_mapping,1.0,existing_repo_mapping,,,,M,downloaded,69.0,,mapped_and_priced
USA,NEKTAR THERAPEUTICS,deletion,NKTR,NKTR,existing_repo_mapping,1.0,existing_repo_mapping,,,,NKTR,downloaded,442.0,,mapped_and_priced
USA,PARSLEY ENERGY A,deletion,PE,PE,existing_repo_mapping,1.0,existing_repo_mapping,,,,PE,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,BIO-RAD LABORATORIES A,inclusion,BIO,BIO,existing_repo_mapping,1.0,existing_repo_mapping,,,,BIO,downloaded,1453.0,,mapped_and_priced
USA,BLACK KNIGHT,inclusion,BKI,BKI,existing_repo_mapping,1.0,existing_repo_mapping,,,,BKI,no_price_data,0.0,Yahoo returned no historical rows.,mapped_but_yahoo_has_no_event_window_history
USA,BLACKSTONE GROUP,inclusion,BX,BX,existing_repo_mapping,1.0,existing_repo_mapping,,,,BX,downloaded,69.0,,mapped_and_priced
USA,BOOZ ALLEN HAMILTON A,inclusion,BAH,BAH,existing_repo_mapping,1.0,existing_repo_mapping,,,,BAH,downloaded,69.0,,mapped_and_priced
USA,BROWN & BROWN,inclusion,BRO,BRO,existing_repo_mapping,1.0,existing_repo_mapping,,,,BRO,downloaded,69.0,,mapped_and_priced
USA,GUIDEWIRE SOFTWARE,inclusion,GWRE,GWRE,existing_repo_mapping,1.0,existing_repo_mapping,,,,GWRE,downloaded,828.0,,mapped_and_priced
USA,INSULET CORP,inclusion,PODD,PODD,existing_repo_mapping,1.0,existing_repo_mapping,,,,PODD,downloaded,69.0,,mapped_and_priced
USA,MATCH GROUP,inclusion,MTCH,MTCH,existing_repo_mapping,1.0,existing_repo_mapping,,,,MTCH,downloaded,1390.0,,mapped_and_priced
USA,MEDICAL PROPERTIES TRUST,inclusion,MPT,MPT,existing_repo_mapping,1.0,existing_repo_mapping,,,,MPT,downloaded,951.0,,mapped_and_priced
USA,NEUROCRINE BIOSCIENCES,inclusion,NBIX,NBIX,existing_repo_mapping,1.0,existing_repo_mapping,,,,NBIX,downloaded,69.0,,mapped_and_priced
USA,OMEGA HEALTHCARE INVESTO,inclusion,,,unsupported_country,,,,,No country suffix rules configured.,,,,,unsupported_country
USA,PINTEREST A,inclusion,PINS,PINS,existing_repo_mapping,1.0,existing_repo_mapping,,,,PINS,downloaded,69.0,,mapped_and_priced
India,ASHOK LEYLAND,deletion,ASHOKLEY.NS,ASHOKLEY.NS,mapped_yahoo_search,1.1389,ASHOK LEYLAND,ASHOK LEYLAND LTD,NSI,,ASHOKLEY.NS,downloaded,874.0,,mapped_and_priced
India,M & M FINANCIAL SVCS,deletion,NAHARCAP.NS,NAHARCAP.NS,mapped_yahoo_search,0.475,AND FINANCIAL,NAHAR CAP & FIN.,NSI,,NAHARCAP.NS,downloaded,63.0,,mapped_and_priced
India,SHRIRAM TRANSPORT FIN,deletion,SHRIPISTON.NS,SHRIPISTON.NS,mapped_yahoo_search,0.9,SHRIRAM,SHRIRAM PIST. & RING LTD,NSI,,SHRIPISTON.NS,cached,63.0,,mapped_and_priced
India,TATA POWER CO,deletion,TATAPOWER.NS,TATAPOWER.NS,mapped_yahoo_search,1.13,TATA POWER CO,TATA POWER CO LTD,NSI,,TATAPOWER.NS,cached,439.0,,mapped_and_priced
India,BIOCON LTD,inclusion,BIOCON.BO,BIOCON.BO,mapped_yahoo_search,1.15,BIOCON LTD,BIOCON LTD.,BSE,,BIOCON.BO,downloaded,750.0,,mapped_and_priced
India,INDRAPRASTHA GAS,inclusion,IGL.NS,IGL.NS,mapped_yahoo_search,1.1591,INDRAPRASTHA GAS,INDRAPRASTHA GAS LTD,NSI,,IGL.NS,downloaded,1055.0,,mapped_and_priced
India,JUBILANT FOODWORKS,inclusion,JUBLFOOD.NS,JUBLFOOD.NS,mapped_yahoo_search,1.1689,JUBILANT FOODWORKS,JUBILANT FOODWORKS LTD,NSI,,JUBLFOOD.NS,downloaded,63.0,,mapped_and_priced
India,TATA CONSUMER PRODUCTS,inclusion,TATACONSUM.NS,TATACONSUM.NS,mapped_yahoo_search,1.1548,TATA CONSUMER PRODUCTS,TATA CONSUMER PRODUCT LTD,NSI,,TATACONSUM.NS,cached,63.0,,mapped_and_priced
India,TORRENT PHARMACEUTICALS,inclusion,TORNTPHARM.NS,TORNTPHARM.NS,mapped_yahoo_search,1.2278,TORRENT PHARMACEUTICALS,TORRENT PHARMACEUTICALS L,NSI,,TORNTPHARM.NS,cached,63.0,,mapped_and_priced
Indonesia,BANK TABUNGAN NEGARA,deletion,BBTN.JK,BBTN.JK,mapped_manual_alias,1.0,manual_alias,,,,BBTN.JK,downloaded,708.0,,mapped_and_priced
Indonesia,BUKIT ASAM,deletion,PTBA.JK,PTBA.JK,mapped_manual_alias,1.0,manual_alias,,,,PTBA.JK,cached,446.0,,mapped_and_priced
Indonesia,BUMI SERPONG DAMAI,deletion,BSDE.JK,BSDE.JK,mapped_yahoo_search,1.1643,BUMI SERPONG DAMAI,Bumi Serpong Damai Tbk,JKT,,BSDE.JK,downloaded,61.0,,mapped_and_priced
Indonesia,JASA MARGA (PERSERO),deletion,JSMR.JK,JSMR.JK,mapped_yahoo_search,1.1643,JASA MARGA (PERSERO),Jasa Marga (Persero) Tbk,JKT,,JSMR.JK,downloaded,61.0,,mapped_and_priced
Indonesia,PABRIK K TJIWI KIMIA,deletion,TKIM.JK,TKIM.JK,mapped_manual_alias,1.0,manual_alias,,,,TKIM.JK,cached,446.0,,mapped_and_priced
Indonesia,PAKUWON JATI,deletion,PWON.JK,PWON.JK,mapped_yahoo_search,1.13,PAKUWON JATI,Pakuwon Jati Tbk.,JKT,,PWON.JK,cached,61.0,,mapped_and_priced
Korea,HANWHA LIFE INSURANCE,deletion,088350.KS,088350.KS,mapped_yahoo_search,0.9397,HANWHA LIFE INSURANCE,HANWHA LIFE,KSC,,088350.KS,downloaded,65.0,,mapped_and_priced
Korea,HDC HYUNDAI DEV (NEW),deletion,089470.KS,089470.KS,mapped_yahoo_search,0.5545,HDC HYUNDAI,HDCHEP,KSC,,089470.KS,downloaded,65.0,,mapped_and_priced
