return_basis,country,event_type,strategy,n_trades,calendar_days,active_days,average_active_positions,cumulative_gross_return,cumulative_net_return,average_daily_net_return,volatility_daily_net,sharpe_daily_net,hit_rate_daily_net,max_drawdown_net,turnover
raw,India,deletion,developed_low_vol_deletion_announce_d-1_to_d+1,27,2151,51,0.0376569037656903,0.2207099392635003,0.1800451537586582,7.978751792100406e-05,0.0023807753548783,0.5320063391454387,0.0116225011622501,-0.1266487237894189,54.0
raw,Indonesia,inclusion,announce_d+0_to_d+3,19,2022,51,0.0346191889218595,0.4402587838460221,0.4005142710017844,0.0001809558685125,0.0054636187290308,0.5257660720189996,0.0103857566765578,-0.1802186434651461,38.0
raw,India,deletion,announce_d-3_to_d+0,32,2152,67,0.0590148698884758,0.2233032277711144,0.1824590011701554,8.112752823926056e-05,0.0025491788343938,0.5052056638156469,0.0148698884758364,-0.1101205918315947,64.0
raw,Indonesia,inclusion,effective_d-5_to_d-1,19,2023,67,0.0449826989619377,0.3214293923246845,0.2852013022273627,0.0001329792305784,0.0042372845391749,0.498191665527056,0.0163124073158675,-0.0886315789473685,38.0
raw,India,inclusion,announce_d-3_to_d+0,112,2219,97,0.1960342496620099,0.285875553498341,0.2231764254362764,9.589448814304206e-05,0.0032018109448894,0.4754427517963537,0.0193780982424515,-0.1316639235123422,224.0
raw,USA,inclusion,effective_d-5_to_d-1,170,2220,127,0.3328828828828828,0.4435361272175038,0.3651642864039217,0.0001559110738774,0.0055789300348475,0.4436355274694307,0.0247747747747747,-0.1631158515093141,340.0
raw,Korea,deletion,announce_d+0_to_d+3,78,2089,84,0.141215892771661,0.2860706551814691,0.2283546761987551,0.0001057417197183,0.0038220741469307,0.4391850332948177,0.0177118238391574,-0.1278579733715036,156.0
raw,Korea,inclusion,announce_to_effective_legacy,53,2162,344,0.3348751156336725,0.927948144446336,0.8344647966528054,0.0003734439894902,0.0138209197385238,0.4289323475552263,0.0772432932469935,-0.2954198473282443,106.0
raw,Korea,inclusion,buy_hold_announce_to_effective,53,2162,344,0.3348751156336725,0.927948144446336,0.8344647966528054,0.0003734439894902,0.0138209197385238,0.4289323475552263,0.0772432932469935,-0.2954198473282443,106.0
raw,USA,deletion,effective_d-3_to_d+0,176,2153,93,0.3074779377612633,0.3777234946663046,0.3106572570915946,0.0001398330188444,0.0053763169700402,0.4128812289151386,0.0176497909893172,-0.1612595897274584,352.0
raw,Indonesia,inclusion,announce_d-3_to_d+0,19,2022,54,0.0365974282888229,0.2914838092178815,0.2556685767740858,0.0001236761030677,0.0047702847601975,0.411568149435225,0.0093966369930761,-0.1373159466774597,38.0
raw,USA,inclusion,announce_d+0_to_d+5,170,2221,165,0.4556506078343089,0.3755332772689383,0.3002695707565661,0.0001325981154038,0.005391694606413,0.3904022723288523,0.0360198108959927,-0.1129313091540079,340.0
