country,event_type,strategy,n_trades,cumulative_gross_return,cumulative_net_return,average_event_gross_return,average_event_net_return,hit_rate_net,volatility_event_net,sharpe_event_net,sharpe_annualized_net,max_drawdown_net,average_holding_days,turnover,transaction_cost_bps
Korea,inclusion,announce_d+0_to_d+3,53,0.020846158905657886,-0.08219110269069463,0.0035706166310874405,0.0015706166310874385,0.4339622641509434,0.08174762095161922,0.01921299498143167,0.16237249768354176,-0.5333166895724861,3.5283018867924527,106.0,10.0
USA,inclusion,flow_neutral_reversal_short_top50_effective_d+1_to_d+5,127,0.059180014188483065,-0.17893759557593258,0.0025343848670255345,0.0005343848670255329,0.48031496062992124,0.06653807652147173,0.008031264126685233,0.0534708934717337,-0.6995412037762886,5.68503937007874,254.0,10.0
Korea,inclusion,flow_neutral_reversal_short_top50_effective_d+1_to_d+5,33,-0.09889296244899226,-0.15698072344529668,0.0014513129595446264,-0.0005486870404553753,0.5454545454545454,0.09122090037657332,-0.006014926822584675,-0.041345786196171734,-0.3537588709742694,5.333333333333333,66.0,10.0
India,inclusion,effective_d+0_to_d+3,112,0.09914822127470102,-0.12163178134427943,0.0016954217320673437,-0.000304578267932658,0.44642857142857145,0.041641699265800046,-0.007314261264616677,-0.05692287051241244,-0.39759121363108196,4.160714285714286,224.0,10.0
Korea,inclusion,effective_d-5_to_d-1,53,-0.0473574052478517,-0.14352520648662315,0.000973478649532977,-0.0010265213504670248,0.5283018867924528,0.060783402642359124,-0.016888185028188205,-0.11157334934034087,-0.3021751743696034,5.773584905660377,106.0,10.0
Indonesia,inclusion,effective_d+1_to_d+5,19,-0.0686333302266573,-0.10363569274324835,-0.00042611603818124157,-0.002426116038181243,0.47368421052631576,0.08431658503540994,-0.028773888757026408,-0.19910200390950078,-0.2794019769199093,5.2631578947368425,38.0,10.0
India,inclusion,effective_d-10_to_d-1,112,-0.2901495893328251,-0.4333837040168118,-0.0010442586733565979,-0.0030442586733566,0.5,0.06355202133253775,-0.04790183867523946,-0.2153095347261898,-0.797025269850421,12.473214285714286,224.0,10.0
Indonesia,inclusion,flow_neutral_reversal_short_top50_effective_d+1_to_d+5,17,-0.08984788548293354,-0.12058196131578924,-0.001943226289357731,-0.003943226289357733,0.47058823529411764,0.08571108272784024,-0.046006025870408404,-0.32099488667353937,-0.1902844632154992,5.176470588235294,34.0,10.0
Korea,deletion,effective_d+1_to_d+5,78,-0.24738850326617112,-0.3568270639128551,-0.0012480990326749664,-0.003248099032674968,0.5,0.06711900028918445,-0.048393137839962234,-0.340086833606424,-0.623598175041085,5.102564102564102,156.0,10.0
Korea,inclusion,effective_d+1_to_d+5,53,-0.28011373682137874,-0.353205590391547,-0.003279593285729616,-0.005279593285729618,0.4528301886792453,0.07919048881537032,-0.06666953777793687,-0.45480444541758064,-0.4946948512372057,5.415094339622642,106.0,10.0
